user_id,shop_id,wifi_strong1,wifi_strong2,wifi_strong3
111,0.0175,0.016457186,0.05,0.008592875
112,0,0.014375118,0.05,0.004654941
113,0,0.005099758,0.05,0.002405495
114,0.015,0.010217557,0.05,-0.001449232
115,0,0.017623007,0.05,0.002489125
116,0.0228,0.01972954,0.05,0.022373787
117,0,0.008581191,0.05,-0.005273945
118,0.0213,0.019178443,0.05,0.019051224
119,0.015,0.010509843,0.05,-0.001006386
120,0.0247,0.015191613,0.05,0.007717353
121,0,0.007128447,0.2625,-0.001869255
122,0,0.002766026,0.05,-0.002371372
123,0.02,0.020277164,0.05,0.005263658
124,0.0164,0.008983923,0.05,0.000842597
125,0,0.008690014,0.05,-0.000958585
126,0.0126,0.010077724,0.2125,0.000991187
127,0,0.010496109,0.05,-0.003138654
128,0.0161,0.005734469,0.2125,0.001546464
129,0.0177,0.007779085,0.05,0.001067107
130,0.0228,0.020836633,0.2625,0.013162529
131,0,0.00557758,0.05,0.000555169
132,0.0163,0.006766915,0.05,-0.003695067
133,0,0.007920059,0.05,-0.002771638
134,0.02,0.019894023,0.05,0.019489405
135,0.0155,0.010379809,0.2125,0.00434526
136,0.0175,0.005976026,0.05,-0.001001877
137,0.0197,0.018389682,0.2625,0.018785433
138,0.0231,0.014093207,0.05,0.006859736
139,0.0246,0.021614782,0.05,0.013204403
140,0.0168,0.004722198,0.05,0.00226229
141,0,0.005868752,0.05,-0.00041304
142,0.0224,0.019962673,0.05,0.013319835
143,0.0175,0.016533167,0.05,0.007487809
144,0.0195,0.010212388,0.2125,0.015281873
145,0,0.006658141,0.05,0.000545218
146,0.0191,0.01749412,0.05,0.008749548
147,0,0.005949203,0.05,0.000640642
148,0.0232,0.018500605,0.05,0.012343686
149,0.0127,0.015612225,0.05,0.005045943
150,0.0227,0.008165485,0.2125,0.025192173
151,0.0198,0.015792616,0.05,0.010210204
152,0.0168,0.037269154,0.2125,0.007912033
153,0.0214,0.017666015,0.2125,0.010345875
