"001","002","003"
"105","57.00142503562589","93.07732693317332"
"109.2","57.00142503562589","95.77739443486088"
"110.2","57.00142503562589","98.17745443636092"
"113.4","57.00142503562589","99.52748818720468"
"114","57.00142503562589","102.07755193879846"
"114.2","57.00142503562589","105.22763069076728"
"113.2","57.00142503562589","108.07770194254857"
"112","57.00142503562589","111.22778069451738"
"110.8","57.00142503562589","113.02782569564239"
"109.8","57.00142503562589","114.97787444686118"
"108.4","57.00142503562589","117.60294007350186"
"104.4","57.00142503562589","121.57803945098628"
"104","57.00142503562589","124.27810695267381"
"109","57.00142503562589","126.37815945398636"
"108","57.00142503562589","128.92822320558014"
"110.8","57.00142503562589","131.32828320708018"
"113.8","57.00142503562589","132.67831695792395"
"116.6","57.00142503562589","134.62836570914274"
