"16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","41","42","43","44","47","48","49","50","51","52","57","58","62","63","64","65","66","67","72","73","74","75","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299"
"116.89","115.44","120.24","118.83","123.63","122.26","127.05","125.72","130.51","129.21","117.69","121.09","124.52","127.98","131.47","117.51","116.07","121.45","120.06","125.39","124.04","114.66","118.62","122.59","126.56","117.12","115.67","120.68","119.28","124.27","122.91","118.03","121.64","115.8","114.34","118.11","116.68","120.51","119.11","113.78","116.07","118.44","120.9","113.88","112.4","114.33","112.85","114.91","113.44","115.63","114.17","116.48","115.03","113.19","113.71","114.37","115.16","116.08","129.12","127.82","131.81","130.53","133.99","132.73","132.67","134.26","131.11","132.72","129.31","130.94","132.24","133.84","130.47","132.08","128.87","130.51","129.89","117.46","116.02","116.48","117.23","114.7","115.47","112.64","113.42","116","116.75","113.97","114.74","112.14","112.92","112.75","113.41","111.92","109.3","107.75"
"116.27","115.23","119.64","118.63","123.04","122.06","126.48","125.53","129.95","129.03","117.28","120.69","124.13","127.6","131.11","116.9","115.87","120.85","119.86","124.81","123.85","114.24","118.22","122.2","126.18","116.5","115.46","120.08","119.08","123.69","122.72","117.63","121.24","115.17","114.13","117.5","116.47","119.91","118.91","113.36","115.65","118.03","120.5","113.25","112.19","113.7","112.64","114.28","113.23","115.01","113.96","115.86","114.82","112.77","113.29","113.95","114.74","115.67","128.57","127.63","131.26","130.34","133.46","132.55","132.24","133.84","130.65","132.27","128.87","130.51","131.94","133.54","130.19","131.81","128.56","130.2","129.52","116.85","115.82","116","116.75","114.18","114.95","112.14","112.92","115.66","116.41","113.65","114.42","111.79","112.57","112.33","112.78","111.71","108.64","107.53"
"115.79","115.16","119.17","118.56","122.59","122","126.04","125.47","129.52","128.97","117.01","120.42","123.87","127.35","130.86","116.42","115.8","120.39","119.79","124.36","123.78","113.96","117.95","121.93","125.92","116.02","115.39","119.62","119.01","123.24","122.65","117.35","120.98","114.69","114.06","117.02","116.4","119.44","118.84","113.08","115.37","117.76","120.24","112.75","112.11","113.2","112.57","113.79","113.16","114.52","113.89","115.38","114.75","112.48","113","113.66","114.46","115.39","128.13","127.57","130.83","130.28","133.04","132.49","131.94","133.54","130.31","131.93","128.56","130.2","131.76","133.36","130.04","131.66","128.38","130.02","129.27","116.37","115.75","115.66","116.41","113.79","114.56","111.79","112.57","115.45","116.2","113.48","114.25","111.57","112.35","112.04","112.28","111.64","108.12","107.45"
"115.44","115.23","118.83","118.63","122.26","122.06","125.72","125.53","129.21","129.03","116.87","120.29","123.74","127.23","130.74","116.07","115.87","120.06","119.86","124.04","123.85","113.82","117.81","121.8","125.8","115.67","115.46","119.28","119.08","122.91","122.72","117.22","120.85","114.34","114.13","116.68","116.47","119.11","118.91","112.94","115.24","117.63","120.1","112.4","112.19","112.85","112.64","113.44","113.23","114.17","113.96","115.03","114.82","112.34","112.86","113.52","114.32","115.25","127.82","127.63","130.53","130.34","132.73","132.55","131.76","133.36","130.1","131.72","128.38","130.02","131.7","133.3","130.01","131.63","128.31","129.96","129.15","116.02","115.82","115.45","116.2","113.55","114.32","111.57","112.35","115.38","116.14","113.44","114.21","111.5","112.28","111.9","111.92","111.71","107.75","107.53"
"115.23","115.44","118.63","118.83","122.06","122.26","125.53","125.72","129.03","129.21","116.87","120.29","123.74","127.23","130.74","115.87","116.07","119.86","120.06","123.85","124.04","113.82","117.81","121.8","125.8","115.46","115.67","119.08","119.28","122.72","122.91","117.22","120.85","114.13","114.34","116.47","116.68","118.91","119.11","112.94","115.24","117.63","120.1","112.19","112.4","112.64","112.85","113.23","113.44","113.96","114.17","114.82","115.03","112.34","112.86","113.52","114.32","115.25","127.63","127.82","130.34","130.53","132.55","132.73","131.7","133.3","130.01","131.63","128.31","129.96","131.76","133.36","130.1","131.72","128.38","130.02","129.15","115.82","116.02","115.38","116.14","113.44","114.21","111.5","112.28","115.45","116.2","113.55","114.32","111.57","112.35","111.9","111.71","111.92","107.53","107.75"
"115.16","115.79","118.56","119.17","122","122.59","125.47","126.04","128.97","129.52","117.01","120.42","123.87","127.35","130.86","115.8","116.42","119.79","120.39","123.78","124.36","113.96","117.95","121.93","125.92","115.39","116.02","119.01","119.62","122.65","123.24","117.35","120.98","114.06","114.69","116.4","117.02","118.84","119.44","113.08","115.37","117.76","120.24","112.11","112.75","112.57","113.2","113.16","113.79","113.89","114.52","114.75","115.38","112.48","113","113.66","114.46","115.39","127.57","128.13","130.28","130.83","132.49","133.04","131.76","133.36","130.04","131.66","128.38","130.02","131.94","133.54","130.31","131.93","128.56","130.2","129.27","115.75","116.37","115.45","116.2","113.48","114.25","111.57","112.35","115.66","116.41","113.79","114.56","111.79","112.57","112.04","111.64","112.28","107.45","108.12"
"115.23","116.27","118.63","119.64","122.06","123.04","125.53","126.48","129.03","129.95","117.28","120.69","124.13","127.6","131.11","115.87","116.9","119.86","120.85","123.85","124.81","114.24","118.22","122.2","126.18","115.46","116.5","119.08","120.08","122.72","123.69","117.63","121.24","114.13","115.17","116.47","117.5","118.91","119.91","113.36","115.65","118.03","120.5","112.19","113.25","112.64","113.7","113.23","114.28","113.96","115.01","114.82","115.86","112.77","113.29","113.95","114.74","115.67","127.63","128.57","130.34","131.26","132.55","133.46","131.94","133.54","130.19","131.81","128.56","130.2","132.24","133.84","130.65","132.27","128.87","130.51","129.52","115.82","116.85","115.66","116.41","113.65","114.42","111.79","112.57","116","116.75","114.18","114.95","112.14","112.92","112.33","111.71","112.78","107.53","108.64"
"115.44","116.89","118.83","120.24","122.26","123.63","125.72","127.05","129.21","130.51","117.69","121.09","124.52","127.98","131.47","116.07","117.51","120.06","121.45","124.04","125.39","114.66","118.62","122.59","126.56","115.67","117.12","119.28","120.68","122.91","124.27","118.03","121.64","114.34","115.8","116.68","118.11","119.11","120.51","113.78","116.07","118.44","120.9","112.4","113.88","112.85","114.33","113.44","114.91","114.17","115.63","115.03","116.48","113.19","113.71","114.37","115.16","116.08","127.82","129.12","130.53","131.81","132.73","133.99","132.24","133.84","130.47","132.08","128.87","130.51","132.67","134.26","131.11","132.72","129.31","130.94","129.89","116.02","117.46","116","116.75","113.97","114.74","112.14","112.92","116.48","117.23","114.7","115.47","112.64","113.42","112.75","111.92","113.41","107.75","109.3"
"115.79","117.64","119.17","120.97","122.59","124.34","126.04","127.74","129.52","131.18","118.24","121.61","125.03","128.48","131.96","116.42","118.26","120.39","122.17","124.36","126.09","115.21","119.16","123.11","127.06","116.02","117.86","119.62","121.41","123.24","124.98","118.57","122.16","114.69","116.55","117.02","118.85","119.44","121.24","114.34","116.62","118.98","121.43","112.75","114.65","113.2","115.1","113.79","115.68","114.52","116.39","115.38","117.23","113.76","114.27","114.92","115.71","116.63","128.13","129.8","130.83","132.47","133.04","134.65","132.67","134.26","130.86","132.48","129.31","130.94","133.21","134.79","131.69","133.29","129.86","131.49","130.38","116.37","118.21","116.48","117.23","114.43","115.19","112.64","113.42","117.1","117.84","115.37","116.12","113.28","114.05","113.32","112.28","114.19","108.12","110.1"
"116.27","118.52","119.64","121.82","123.04","125.17","126.48","128.55","129.95","131.97","118.91","122.27","125.67","129.1","132.56","116.9","119.13","120.85","123.02","124.81","126.91","115.91","119.83","123.76","127.69","116.5","118.74","120.08","122.26","123.69","125.81","119.25","122.82","115.17","117.44","117.5","119.72","119.91","122.09","115.04","117.3","119.65","122.09","113.25","115.56","113.7","116","114.28","116.57","115.01","117.28","115.86","118.12","114.46","114.97","115.62","116.4","117.31","128.57","130.6","131.26","133.26","133.46","135.42","133.21","134.79","131.38","132.99","129.86","131.49","133.87","135.44","132.38","133.98","130.54","132.16","130.99","116.85","119.09","117.1","117.84","115.02","115.78","113.28","114.05","117.85","118.59","116.16","116.91","114.05","114.82","114.02","112.78","115.09","108.64","111.04"
