"74.2","70.32","74.73","70.89","75.48","71.67","76.43","72.67","77.57","73.87","78.9","75.27","80.41","76.85","82.08","78.6"
"73","70.21","73.55","70.78","74.31","71.56","75.27","72.56","76.43","73.76","77.78","75.16","79.3","76.74","81","78.49"
"72.01","70.32","72.56","70.89","73.33","71.67","74.31","72.67","75.48","73.87","76.85","75.27","78.39","76.85","80.11","78.6"
"71.23","70.66","71.79","71.23","72.56","72.01","73.55","73","74.73","74.2","76.11","75.59","77.67","77.16","79.41","78.9"
"70.66","71.23","71.23","71.79","72.01","72.56","73","73.55","74.2","74.73","75.59","76.11","77.16","77.67","78.9","79.41"
"70.32","72.01","70.89","72.56","71.67","73.33","72.67","74.31","73.87","75.48","75.27","76.85","76.85","78.39","78.6","80.11"
"70.21","73","70.78","73.55","71.56","74.31","72.56","75.27","73.76","76.43","75.16","77.78","76.74","79.3","78.49","81"
"70.32","74.2","70.89","74.73","71.67","75.48","72.67","76.43","73.87","77.57","75.27","78.9","76.85","80.41","78.6","82.08"
"70.66","75.59","71.23","76.11","72.01","76.85","73","77.78","74.2","78.9","75.59","80.21","77.16","81.69","78.9","83.34"
"71.23","77.16","71.79","77.67","72.56","78.39","73.55","79.3","74.73","80.41","76.11","81.69","77.67","83.15","79.41","84.77"
"72.01","78.9","72.56","79.41","73.33","80.11","74.31","81","75.48","82.08","76.85","83.34","78.39","84.77","80.11","86.36"
"73","80.8","73.55","81.3","74.31","81.98","75.27","82.86","76.43","83.91","77.78","85.14","79.3","86.54","81","88.1"
"74.2","82.86","74.73","83.34","75.48","84.01","76.43","84.86","77.57","85.89","78.9","87.09","80.41","88.46","82.08","89.98"
"75.59","85.05","76.11","85.52","76.85","86.17","77.78","87","78.9","88.01","80.21","89.18","81.69","90.52","83.34","92.01"
"77.16","87.37","77.67","87.83","78.39","88.46","79.3","89.27","80.41","90.25","81.69","91.4","83.15","92.7","84.77","94.16"
"92.09","80.51","92.35","80.8","92.79","81.3","93.39","81.98","94.16","82.86","95.09","83.91","96.17","85.14","97.41","86.54"
"89.54","78.6","89.81","78.9","90.25","79.41","90.87","80.11","91.66","81","92.61","82.08","93.73","83.34","95","84.77"
"87.09","76.85","87.37","77.16","87.83","77.67","88.46","78.39","89.27","79.3","90.25","80.41","91.4","81.69","92.7","83.15"
"84.77","75.27","85.05","75.59","85.52","76.11","86.17","76.85","87","77.78","88.01","78.9","89.18","80.21","90.52","81.69"
"82.57","73.87","82.86","74.2","83.34","74.73","84.01","75.48","84.86","76.43","85.89","77.57","87.09","78.9","88.46","80.41"
"80.51","72.67","80.8","73","81.3","73.55","81.98","74.31","82.86","75.27","83.91","76.43","85.14","77.78","86.54","79.3"
"78.6","71.67","78.9","72.01","79.41","72.56","80.11","73.33","81","74.31","82.08","75.48","83.34","76.85","84.77","78.39"
"76.85","70.89","77.16","71.23","77.67","71.79","78.39","72.56","79.3","73.55","80.41","74.73","81.69","76.11","83.15","77.67"
"75.27","70.32","75.59","70.66","76.11","71.23","76.85","72.01","77.78","73","78.9","74.2","80.21","75.59","81.69","77.16"
"73.87","69.98","74.2","70.32","74.73","70.89","75.48","71.67","76.43","72.67","77.57","73.87","78.9","75.27","80.41","76.85"
"72.67","69.87","73","70.21","73.55","70.78","74.31","71.56","75.27","72.56","76.43","73.76","77.78","75.16","79.3","76.74"
"71.67","69.98","72.01","70.32","72.56","70.89","73.33","71.67","74.31","72.67","75.48","73.87","76.85","75.27","78.39","76.85"
"70.89","70.32","71.23","70.66","71.79","71.23","72.56","72.01","73.55","73","74.73","74.2","76.11","75.59","77.67","77.16"
"70.32","70.89","70.66","71.23","71.23","71.79","72.01","72.56","73","73.55","74.2","74.73","75.59","76.11","77.16","77.67"
"69.98","71.67","70.32","72.01","70.89","72.56","71.67","73.33","72.67","74.31","73.87","75.48","75.27","76.85","76.85","78.39"
"69.87","72.67","70.21","73","70.78","73.55","71.56","74.31","72.56","75.27","73.76","76.43","75.16","77.78","76.74","79.3"
"69.98","73.87","70.32","74.2","70.89","74.73","71.67","75.48","72.67","76.43","73.87","77.57","75.27","78.9","76.85","80.41"
"70.32","75.27","70.66","75.59","71.23","76.11","72.01","76.85","73","77.78","74.2","78.9","75.59","80.21","77.16","81.69"
"70.89","76.85","71.23","77.16","71.79","77.67","72.56","78.39","73.55","79.3","74.73","80.41","76.11","81.69","77.67","83.15"
"71.67","78.6","72.01","78.9","72.56","79.41","73.33","80.11","74.31","81","75.48","82.08","76.85","83.34","78.39","84.77"
"72.67","80.51","73","80.8","73.55","81.3","74.31","81.98","75.27","82.86","76.43","83.91","77.78","85.14","79.3","86.54"
"73.87","82.57","74.2","82.86","74.73","83.34","75.48","84.01","76.43","84.86","77.57","85.89","78.9","87.09","80.41","88.46"
"75.27","84.77","75.59","85.05","76.11","85.52","76.85","86.17","77.78","87","78.9","88.01","80.21","89.18","81.69","90.52"
